GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,B1R001,B1R002,B1R003,B1R004,B1R005,B1R006,B1R007,B1R008,B1R009,B1R010,B1R011,B1R012,B1R013,B1R014,B1R015,B1R016,B1R017,B1R018,B1R019,B1R020,B1R021,B1R022,B1R023,B1R024,B1R025,B1R026,B1R027,B1R028,B1R029,B1R030,B1R031,B1R032,B1R033,B1R034,B1T001,B1T002,B1U001,B1U002,B1W001,B1W002,B1W003,B1W004,B1W005,B1W006,B1W007,B1W008,B1W009,B1W010,B1W011,B1W012,B1W013,B1W014,B1W015,B1W016,B1W017,B1W018,B1W019,B1W020,B1W021,B1W022,B1W023,B1W024,B1W025,B1W026,B1W027,B1W028,B1W029,B1W030,B1W031,B1W032,B1W033,B1W034,B1W035,B1W036,B1W037,B1W038,B1W039,B1W040,B1W041,B1W042,B1W043,B1W044,B1W045,B1W046,B1W047,B1W048,B1W049,B1W050,B1W051,B1W052,B1W053,B1W054,B1W055,B1W056,B1W057,B1W058,B1W059,B1W060,B1W061,B1W062,B1W063,B1W064,B1W065,B1W066,B1W067,B1W068,B1Z001,B1Z002,B1Z003,B1Z004
"G230","1950","Maine","230",,"Maine",99337,82089,71043,70158,66360,66006,61806,60045,57053,51461,49619,44221,38286,33881,25969,28229,5283,341,277,367,265,299,234,160,161,133,132,129,123,107,71,50,61,18,910846,2928,575223,1617,50851,42091,36038,34885,32491,32562,30459,29895,28195,25412,24426,21749,19093,16537,12549,13136,2134,48486,39998,35005,35273,33869,33444,31347,30150,28858,26049,25193,22472,19193,17344,13420,15093,3149,179,132,212,153,192,134,88,89,81,79,72,65,64,38,21,34,9,162,145,155,112,107,100,72,72,52,53,57,58,43,33,29,27,9,452503,458343,1642,1286
"G240","1950","Maryland","240",,"Maryland",211482,168576,129847,126124,154460,178210,167521,153368,136373,117170,105862,89007,72499,58048,40190,39535,6703,46770,37321,31856,29496,32812,35675,31788,31361,26557,22880,19344,13057,10071,8491,5169,4487,891,1954975,388026,1290514,236575,108270,85995,66085,63881,77057,86944,83644,77366,69196,59108,52924,44053,35289,26173,17663,16639,2423,103212,82581,63762,62243,77403,91266,83877,76002,67177,58062,52938,44954,37210,31875,22527,22896,4280,23455,18777,15779,14232,15797,17167,15598,15655,13625,11840,10370,6941,5192,4209,2652,2218,386,23315,18544,16077,15264,17015,18508,16190,15706,12932,11040,8974,6116,4879,4282,2517,2269,505,972710,982265,193893,194133
"G250","1950","Massachusetts","250",,"Massachusetts",440444,358674,289788,303201,344355,365588,351229,336262,313133,287330,282681,257985,218105,178632,128908,131428,23760,8372,6079,5719,5305,7257,8169,6727,5995,4717,4436,4239,3495,2793,2524,1619,1301,264,4611503,79011,3153820,52284,225053,183694,147646,148823,168173,178673,170093,161016,149687,137380,134103,123650,103925,80476,55371,54111,8342,215391,174980,142142,154378,176182,186915,181136,175246,163446,149950,148578,134335,114180,98156,73537,77317,15418,4231,3050,3026,2651,3698,4196,3448,2983,2361,2209,2270,1855,1433,1234,800,606,100,4141,3029,2693,2654,3559,3973,3279,3012,2356,2227,1969,1640,1360,1290,819,695,164,2230216,2381287,40151,38860
"G260","1950","Michigan","260",,"Michigan",650981,529472,439404,402091,451534,488827,460358,431227,391110,356870,327501,297836,244108,184512,123889,117115,20990,52880,39214,32567,29015,39633,49266,44368,42086,33498,29198,22555,14849,9668,7461,3791,3195,697,5917825,453941,3812763,293843,333074,270014,224865,198735,220428,239259,225620,215294,198216,184624,169747,156947,128361,93395,60887,54937,8969,317907,259458,214539,203356,231106,249568,234738,215933,192894,172246,157754,140889,115747,91117,63002,62178,12021,26515,19546,16456,13840,18689,24212,21594,21177,17619,15832,12502,8310,5295,3681,1750,1436,293,26365,19668,16111,15175,20944,25054,22774,20909,15879,13366,10053,6539,4373,3780,2041,1759,404,2983372,2934453,228747,225194
"G270","1950","Minnesota","270",,"Minnesota",328539,264705,220987,205326,211333,218295,210691,203600,188127,174814,169528,156588,133948,104381,73191,74875,14769,3921,2947,2800,2134,2379,2485,2074,1847,1602,1398,1277,1102,906,807,514,457,136,2953697,28786,1893582,16571,167874,135374,112804,101711,102091,108705,104556,101461,94326,87342,85706,80386,69778,53263,37065,37030,6688,160665,129331,108183,103615,109242,109590,106135,102139,93801,87472,83822,76202,64170,51118,36126,37845,8081,1970,1470,1476,1059,1223,1300,1108,971,885,748,714,589,539,423,262,239,72,1951,1477,1324,1075,1156,1185,966,876,717,650,563,513,367,384,252,218,64,1486160,1467537,15048,13738
"G280","1950","Mississippi","280",,"Mississippi",134513,115941,106616,101499,94271,90434,83301,84868,79123,66113,56490,47808,40740,36111,24657,22818,3329,148836,123128,110827,93589,73969,61525,53914,60015,54513,49098,40133,31167,23519,30013,16603,15895,3538,1188632,990282,710669,497354,68720,59062,54524,51977,47126,44652,41034,41708,39722,32920,28231,23860,20347,17528,12016,10855,1398,65793,56879,52092,49522,47145,45782,42267,43160,39401,33193,28259,23948,20393,18583,12641,11963,1931,74603,61778,55796,46022,33941,27932,24416,27200,25490,23427,19383,16034,12002,14756,8642,8212,1477,74233,61350,55031,47567,40028,33593,29498,32815,29023,25671,20750,15133,11517,15257,7961,7683,2061,595680,592952,481111,509171
"G290","1950","Missouri","290",,"Missouri",353596,297252,256644,251622,257935,271915,254399,260317,252762,231887,214933,196465,170513,147409,107151,110916,19877,30795,25036,22890,20708,22599,24336,22359,23982,22312,20759,17371,13591,10287,10245,5717,4978,1095,3655593,299060,2447662,195467,180888,151321,130884,123551,123790,132769,122811,126793,123748,113516,105433,96280,83341,70721,50904,51426,8521,172708,145931,125760,128071,134145,139146,131588,133524,129014,118371,109500,100185,87172,76688,56247,59490,11356,15376,12553,11515,9669,9930,11160,10066,10987,10634,10126,8816,7150,5388,4966,2836,2502,492,15419,12483,11375,11039,12669,13176,12293,12995,11678,10633,8555,6441,4899,5279,2881,2476,603,1796697,1858896,144166,154894
"G300","1950","Montana","300",,"Montana",65091,52770,44238,38869,40261,42895,44235,42041,36743,31405,28031,28289,27429,21484,13658,12392,2207,3110,2587,2296,1771,1455,1286,1055,1022,809,755,683,523,511,456,289,300,78,572038,18986,363414,8931,32982,26975,22577,19640,20577,22070,22495,21805,19731,16975,14879,15240,15590,12309,7661,6771,1138,32109,25795,21661,19229,19684,20825,21740,20236,17012,14430,13152,13049,11839,9175,5997,5621,1069,1560,1330,1219,893,778,662,537,542,465,401,366,290,311,265,178,175,36,1550,1257,1077,878,677,624,518,480,344,354,317,233,200,191,111,125,42,299415,272623,10008,8978
"G310","1950","Nebraska","310",,"Nebraska",137283,108602,95769,95521,96865,97145,88882,87863,83530,76115,74483,69790,60746,49231,35258,36789,7456,2886,2203,1941,1744,2012,1990,1747,1798,1631,1392,1364,1000,829,756,415,394,80,1301328,24182,845337,15054,69985,55407,49306,47776,48438,49503,44061,43814,41916,38051,37182,35183,30863,24750,17460,17995,3348,67298,53195,46463,47745,48427,47642,44821,44049,41614,38064,37301,34607,29883,24481,17798,18794,4108,1478,1142,1026,829,999,975,816,916,825,710,715,541,459,414,223,190,36,1408,1061,915,915,1013,1015,931,882,806,682,649,459,370,342,192,204,44,655038,646290,12294,11888
"G320","1950","Nevada","320",,"Nevada",15729,12436,9961,8609,10153,12573,13124,13225,11783,10084,8665,7215,5971,4477,3034,2493,376,1229,1087,983,835,862,786,745,787,619,610,452,330,244,270,126,149,61,149908,10175,101299,5874,7984,6389,5184,4457,5195,6031,6509,6719,6367,5773,5087,4300,3624,2617,1818,1410,197,7745,6047,4777,4152,4958,6542,6615,6506,5416,4311,3578,2915,2347,1860,1216,1083,179,622,541,481,464,486,392,390,388,333,335,272,196,140,150,78,70,18,607,546,502,371,376,394,355,399,286,275,180,134,104,120,48,79,43,79661,70247,5356,4819
"G330","1950","New Hampshire","330",,"New Hampshire",54429,43720,37137,37400,37864,38551,37543,36726,34924,32165,31510,28393,24191,20463,16322,17460,3477,90,80,127,64,97,94,68,60,41,60,54,36,25,22,19,22,8,532275,967,352188,592,27623,22336,18915,18734,18765,18824,18412,17876,17054,15876,15332,13877,11721,9778,7587,7814,1347,26806,21384,18222,18666,19099,19727,19131,18850,17870,16289,16178,14516,12470,10685,8735,9646,2130,41,35,84,41,59,51,35,38,21,39,34,21,10,11,13,13,7,49,45,43,23,38,43,33,22,20,21,20,15,15,11,6,9,1,261871,270404,553,414
"G340","1950","New Jersey","340",,"New Jersey",424711,344940,266179,271713,320972,377919,381744,367145,333937,297153,287986,251816,206881,157791,105257,98216,17225,34195,26886,24365,24146,29431,31971,27690,26772,23823,21351,17249,11700,8665,7130,4184,3416,770,4511585,323744,3145242,208918,217870,176146,135944,138759,155137,180757,184453,179485,165520,148037,142081,125041,103176,74999,48188,41873,6391,206841,168794,130235,132954,165835,197162,197291,187660,168417,149116,145905,126775,103705,82792,57069,56343,10834,16999,13377,12206,11994,14060,15415,13182,12783,11724,10514,8756,6080,4419,3450,2054,1583,291,17196,13509,12159,12152,15371,16556,14508,13989,12099,10837,8493,5620,4246,3680,2130,1833,479,2223857,2287728,158887,164857
"G350","1950","New Mexico","350",,"New Mexico",86996,70123,59140,51729,53065,53794,47077,44289,37262,31221,25739,21844,17166,13167,8115,8064,1420,7948,6875,6071,5401,4561,3632,3056,2979,2310,2061,1569,1214,1001,871,570,634,223,630211,50976,351740,23647,44354,35560,30082,26018,26986,26918,23811,22312,19170,16066,13275,11524,9297,7008,4297,4179,700,42642,34563,29058,25711,26079,26876,23266,21977,18092,15155,12464,10320,7869,6159,3818,3885,720,3983,3427,3058,2612,2260,1822,1524,1516,1180,1114,900,704,584,494,317,367,125,3965,3448,3013,2789,2301,1810,1532,1463,1130,947,669,510,417,377,253,267,98,321557,308654,25987,24989
"G360","1950","New York","360",,"New York",1268472,1026305,830276,843368,997289,1099776,1077802,1096106,1053736,968372,931013,795766,661204,512441,342854,313253,54062,96249,68720,61908,60666,87523,107147,95465,93806,78208,65548,50878,32651,23481,17662,9585,7123,1477,13872096,958097,9718328,656118,648154,524111,424997,414697,474394,526114,513409,521845,514472,479969,461763,398367,330459,243640,157507,135693,20562,620318,502194,405279,428671,522895,573662,564393,574261,539264,488403,469250,397399,330745,268801,185347,177560,33500,48423,33994,30861,28330,36914,47860,42158,42229,37621,32221,25881,16398,11305,8020,4242,2843,491,47826,34726,31047,32336,50609,59287,53307,51577,40587,33327,24997,16253,12176,9642,5343,4280,986,6790153,7081942,449791,508306
