GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,B5N001,B5N002,B5N003,B5N004,B5N005,B5N006,B5N007,B5N008,B5N009,B5N010,B5N011,B5N012,B5N013,B5N014,B5N015,B5N016,B5N017,B5N018,B5N019,B5N020,B5N021,B5N022,B5N023,B5N024,B5N025,B5N026,B5N027,B5N028,B5N029,B5N030,B5N031,B5N032,B5N033,B5N034,B5N035,B5N036,B5N037,B5N038,B5N039,B5N040,B5N041,B5N042,B5N043,B5N044,B5N045,B5N046,B5N047,B5N048,B5N049,B5N050,B5N051,B5N052,B5N053,B5N054,B5N055,B5N056,B5N057,B5N058,B5N059,B5N060,B5N061,B5N062,B5N063,B5N064,B5N065,B5N066,B5N067,B5N068,B5N069,B5N070,B5N071,B5N072,B5N073,B5N074,B5N075,B5N076,B5N077,B5N078,B5N079,B5N080,B5N081,B5N082,B5N083,B5N084,B5N085,B5N086,B5N087,B5N088
"G310","1960","Nebraska","310",,"Nebraska",16150,15984,15651,15420,15499,15087,14604,14553,14565,13624,13358,13386,13551,13057,10337,10617,10903,10521,8893,7893,7813,410137,15621,15019,15241,14757,14923,14628,14318,14203,14141,13066,12865,12765,12905,12712,9781,10125,10360,10065,9513,8937,8571,428645,628,644,599,598,538,531,470,432,451,444,398,390,363,328,304,284,268,235,269,247,275,9727,628,580,615,541,571,524,472,467,442,389,386,320,371,332,298,226,220,258,224,225,245,9809
"G320","1960","Nevada","320",,"Nevada",3042,3018,2994,2921,2810,2819,2693,2765,2653,2465,2424,2526,2529,2502,1818,1926,1919,1813,1689,1499,1660,85813,3055,2937,2941,2842,2758,2760,2702,2474,2458,2300,2384,2460,2483,2446,1863,1828,1792,1842,1522,1498,1469,78331,387,405,382,344,333,337,288,264,241,224,225,181,189,197,170,206,205,202,198,156,195,5894,420,393,405,317,356,330,287,265,230,222,209,207,226,200,167,189,176,194,166,176,150,5327
"G330","1960","New Hampshire","330",,"New Hampshire",6788,6763,6850,6559,6515,6517,6068,6214,6042,5748,5868,5897,6255,6079,4484,4592,4776,4708,4308,3968,3787,177876,6582,6522,6512,6410,6159,6066,5964,5951,5752,5365,5543,5867,6146,5937,4215,4337,4565,4867,4298,3794,3459,193361,60,58,45,41,35,36,26,27,18,20,21,14,12,13,10,8,7,8,31,23,55,877,53,53,56,37,22,43,19,21,33,15,19,16,21,14,13,11,12,15,15,17,26,611
"G340","1960","New Jersey","340",,"New Jersey",57319,58498,58424,57369,57551,56907,54496,54095,52348,49107,49106,49299,52709,52944,39746,38833,39512,42925,33309,27325,25874,1709816,54984,56992,56587,55181,55217,54638,52285,52143,49644,46635,46481,47308,50258,50829,38958,37718,38662,41773,32363,28029,27578,1847228,7759,7635,7518,7114,7052,6587,6189,5968,5642,5284,5452,5180,4789,4172,3577,3502,3521,3803,3352,3170,3167,144046,7706,7642,7590,7054,7005,6714,6103,5988,5824,5615,5465,5187,4823,4480,3617,3672,3736,3704,3675,3779,3937,159984
"G350","1960","New Mexico","350",,"New Mexico",13032,12643,12464,12180,11963,11943,11556,11386,10599,10234,10308,10007,10202,9787,7549,7646,7654,7078,6448,6148,6263,235262,12726,12210,12091,11967,11596,11395,11122,11000,10369,9929,9623,9789,9865,9575,7496,7466,7393,7079,6568,5962,5985,232205,1483,1260,1292,1290,1231,1237,1159,1162,1047,987,1097,975,968,826,726,705,638,668,667,576,613,16811,1486,1284,1338,1364,1260,1278,1215,1232,1133,1084,1001,1001,989,899,779,762,680,753,701,644,562,16397
"G360","1960","New York","360",,"New York",155649,155813,154827,149303,149764,147618,141620,142195,137665,132233,131215,132860,140064,140275,108564,106979,108717,112051,87200,74647,73527,4738578,149748,150605,148555,143763,144123,141059,136597,137065,132393,127157,126503,128385,134752,134267,104990,104402,106385,114494,96953,88603,87112,5227796,20012,19560,18947,18233,17448,17000,15665,15543,14971,14189,14220,13634,12579,11191,9348,9204,9061,8905,8363,7968,8575,417259,20328,19900,18574,17980,17868,17030,15892,15644,14895,14723,14303,13715,12926,11420,9706,9701,9555,9722,10133,10519,11865,496959
"G370","1960","North Carolina","370",,"North Carolina",37381,36486,36655,36560,36343,36603,35640,35901,34867,33006,34326,35073,37938,36916,29495,30114,30572,31556,31559,29794,28300,969712,35676,35359,35070,35140,34990,35034,34523,34631,33199,31504,32741,33978,35906,35732,28352,28509,29432,30013,27946,25650,24860,1036243,16583,16557,16583,16662,16828,16809,16730,16309,15911,15770,15606,15628,15175,14116,12913,12720,12003,12067,10816,9416,8499,258571,16984,16639,16631,16608,16731,17168,16655,16309,15846,15644,15566,15241,15178,13941,12761,12544,11877,12062,10480,9003,8372,292358
"G380","1960","North Dakota","380",,"North Dakota",8082,7943,7782,7663,7754,7705,7394,7504,7293,6658,6823,6531,6803,6502,5375,5593,5785,5490,4602,4087,3816,179452,7798,7672,7570,7350,7456,7446,7160,7141,6879,6428,6293,6342,6368,6353,5525,5441,5554,5295,4574,4271,3944,170041,285,258,239,227,221,216,196,191,186,194,179,165,181,165,141,166,151,111,121,135,112,2731,250,285,239,229,240,202,241,191,181,165,199,162,162,162,140,125,121,116,104,88,93,2642
"G390","1960","Ohio","390",,"Ohio",103344,105975,106874,104483,102683,102147,96969,96429,93958,88783,89118,88503,91333,89567,64848,64319,65854,68708,57318,47932,46579,2600402,99051,101447,102629,99546,98381,97543,93484,92673,89802,84965,85457,85325,88485,86151,62831,62529,64837,70405,63933,57668,56404,2790026,11414,11634,11706,11265,11018,10881,10189,9727,9208,8973,8618,8105,7452,6726,5439,5325,5547,5379,4749,4109,4156,216482,11641,11724,11827,11385,11373,10758,10084,9761,9206,8779,8619,8090,7781,6864,5505,5353,5574,5710,5537,5235,5390,232401
"G400","1960","Oklahoma","400",,"Oklahoma",21725,21148,21528,21512,21640,22058,21627,21316,20652,19926,19725,20307,21128,21245,17039,17775,18346,17648,15972,14759,13938,630188,20850,20703,20732,20568,20955,20868,20767,20354,19670,19174,19219,19509,20346,20891,16357,17196,17468,17028,15372,14096,13677,670898,3261,3175,3174,3138,2973,3124,2852,2858,2656,2673,2675,2550,2511,2459,2148,2149,1938,1921,1755,1511,1381,53767,3267,3228,3113,3085,2972,2996,2859,2866,2670,2533,2562,2622,2525,2470,2185,2104,1952,1894,1677,1492,1466,61197
