GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,B5I001,B5I002,B5I003,B5I004,B5I005,B5I006,B5I007,B5I008,B5I009,B5I010,B5I011,B5I012,B5I013,B5I014,B5I015,B5I016,B5I017,B5I018,B5I019,B5I020,B5I021,B5I022,B5I023,B5I024,B5I025,B5I026,B5I027,B5I028,B5I029,B5I030,B5I031,B5I032,B5I033,B5I034,B5I035,B5I036,B48001,B48002,B49001,B49002,B49003,B49004,B49005,B49006,B49007,B49008,B49009,B49010,B49011,B49012,B49013,B49014,B49015,B49016,B49017,B49018,B49019,B49020,B49021,B49022,B49023,B49024,B49025,B49026,B49027,B49028,B49029,B49030,B49031,B49032,B49033,B49034,B49035,B49036,B49037,B49038,B49039,B49040,B49041,B49042,B49043,B49044,B49045,B49046,B49047,B49048,B49049,B49050,B49051,B49052,B49053,B49054,B49055,B49056,B49057,B49058,B49059,B49060,B49061,B49062,B49063,B49064,B49065,B49066,B49067,B49068,B49069,B49070,B49071,B49072,B5B001,B5B002,B5B003,B5B004
"G130","1960","Georgia","130",,"Georgia",308752,288860,278920,229208,198282,188311,194352,198741,184710,169706,147066,120164,94865,82197,60810,40139,20889,11251,163149,151338,132730,102346,72929,63459,61999,61322,60271,59691,49138,41343,30803,30947,20837,13175,5881,4535,2817223,1125893,157637,147414,141937,116895,100848,93582,95878,97182,92020,84247,72136,57114,43637,36467,26068,16463,8102,4108,151115,141446,136983,112313,97434,94729,98474,101559,92690,85459,74930,63050,51228,45730,34742,23676,12787,7143,81144,75522,66380,51111,34665,28948,27584,27451,27293,27281,22813,18742,13349,13075,8869,5706,2382,1863,82005,75816,66350,51235,38264,34511,34415,33871,32978,32410,26325,22601,17454,17872,11968,7469,3499,2672,1391735,1425488,534178,591715
"G150","1960","Hawaii","150",,"Hawaii",25754,20363,16692,17114,26055,17410,16118,16374,13001,9566,7135,5350,3979,2964,2131,1258,619,347,55208,52415,47326,37707,24551,27143,32818,32871,27357,23919,18930,16662,11792,7995,6557,3832,2226,1233,202230,430542,13065,10322,8580,11324,18224,9713,8641,8723,7353,5210,3717,2812,1919,1422,982,539,238,131,12689,10041,8112,5790,7831,7697,7477,7651,5648,4356,3418,2538,2060,1542,1149,719,381,216,28201,26853,24099,19298,12179,12698,15536,16444,14090,14357,12159,10291,6653,4105,4039,2195,1308,753,27007,25562,23227,18409,12372,14445,17282,16427,13267,9562,6771,6371,5139,3890,2518,1637,918,480,112915,89315,225258,205284
"G160","1960","Idaho","160",,"Idaho",80653,77275,69567,54446,38429,36533,39262,41369,41042,38450,33215,27007,22567,20594,16692,11271,5829,3182,1519,1381,1054,742,717,678,621,641,487,420,288,325,245,253,178,134,70,55,657383,9808,41199,39701,35372,27373,19089,18055,19633,20351,20523,19883,17451,14211,11550,10438,8426,5679,2907,1457,39454,37574,34195,27073,19340,18478,19629,21018,20519,18567,15764,12796,11017,10156,8266,5592,2922,1725,752,663,519,393,418,351,311,354,251,236,174,176,128,121,113,87,44,32,767,718,535,349,299,327,310,287,236,184,114,149,117,132,65,47,26,23,333298,324085,5123,4685
"G170","1960","Illinois","170",,"Illinois",965995,871650,773518,618830,509312,529146,596044,630329,611343,586935,523981,470409,402652,349848,266736,167843,86435,49246,164251,131152,94852,67733,72436,79746,83458,78835,64928,56697,48039,43347,30617,23597,15242,9136,4019,2821,9010252,1070906,492067,444242,394031,309611,240970,262802,296805,310359,298690,288865,258533,231527,193727,162491,122292,74157,35918,18600,473928,427408,379487,309219,268342,266344,299239,319970,312653,298070,265448,238882,208925,187357,144444,93686,50517,30646,81735,65356,47037,32245,31585,36868,39168,37751,31201,27693,23682,21949,15272,11260,7257,4230,1705,1185,82516,65796,47815,35488,40851,42878,44290,41084,33727,29004,24357,21398,15345,12337,7985,4906,2314,1636,4435687,4574565,517179,553727
"G180","1960","Indiana","180",,"Indiana",501324,464292,413452,326659,266881,264910,290281,300043,274832,255575,226264,201319,173566,152513,121786,83848,44416,26593,41626,35101,25773,18698,16535,18727,19963,19180,15938,14714,12141,10930,8255,6874,4510,2820,1284,875,4388554,273944,256004,236999,210269,163100,128527,130360,143258,146726,135072,127413,112441,98888,83211,71285,55340,36942,19058,10616,245320,227293,203183,163559,138354,134550,147023,153317,139760,128162,113823,102431,90355,81228,66446,46906,25358,15977,20707,17311,12907,8972,7525,8628,9413,9249,7650,7201,5942,5503,4197,3413,2234,1392,615,370,20919,17790,12866,9726,9010,10099,10550,9931,8288,7513,6199,5427,4058,3461,2276,1428,669,505,2165509,2223045,133229,140715
"G190","1960","Iowa","190",,"Iowa",303094,288263,256049,200811,153340,149815,163105,168369,163434,155986,143919,133745,123368,113486,90672,63316,35664,22273,4120,3556,2770,2129,1995,1989,1947,1824,1478,1406,1192,1173,975,874,636,393,211,160,2728709,28828,154724,147301,130916,99904,72905,73185,81024,82766,80355,77396,71589,65294,59459,53911,42162,28099,15129,8814,148370,140962,125133,100907,80435,76630,82081,85603,83079,78590,72330,68451,63909,59575,48510,35217,20535,13459,2042,1785,1371,1010,940,944,928,898,726,669,581,610,484,444,317,200,94,71,2078,1771,1399,1119,1055,1045,1019,926,752,737,611,563,491,430,319,193,117,89,1344933,1383776,14114,14714
"G200","1960","Kansas","200",,"Kansas",231511,216801,189099,149853,125194,123777,132766,138045,125123,118215,109769,98798,88054,79034,65002,45466,26230,15929,14611,11358,8932,7517,7358,7008,6615,6023,5163,4778,4205,4228,3541,3275,2403,1574,790,566,2078666,99945,118103,110708,96571,75637,63093,61764,66374,69158,62014,58631,54188,48016,42266,37059,29704,20222,11380,6521,113408,106093,92528,74216,62101,62013,66392,68887,63109,59584,55581,50782,45788,41975,35298,25244,14850,9408,7311,5672,4467,3821,3986,3547,3213,2988,2540,2356,2047,2043,1710,1640,1209,765,387,266,7300,5686,4465,3696,3372,3461,3402,3035,2623,2422,2158,2185,1831,1635,1194,809,403,300,1031409,1047257,49968,49977
"G210","1960","Kentucky","210",,"Kentucky",313845,300718,291639,237604,180300,163270,174805,181614,166754,159524,142561,128498,108665,97533,76090,52436,27967,16260,28651,24993,19911,16125,12843,12200,12819,13225,12149,12235,11166,10796,8923,8490,6190,4088,1893,1376,2820083,218073,160231,153016,148189,123103,92133,79573,85156,88883,82072,78853,70314,62705,52110,46529,35743,23901,12586,6807,153614,147702,143450,114501,88167,83697,89649,92731,84682,80671,72247,65793,56555,51004,40347,28535,15381,9453,14417,12537,9967,8382,6390,5774,5958,6198,5761,5832,5327,5210,4306,4101,2919,1962,876,627,14234,12456,9944,7743,6453,6426,6861,7027,6388,6403,5839,5586,4617,4389,3271,2126,1017,749,1401904,1418179,106544,111529
"G220","1960","Louisiana","220",,"Louisianna",264507,242846,216644,169627,139718,141716,153728,153909,139653,131012,116611,99507,77653,63539,46056,30203,15721,9065,158216,145047,120732,92135,65609,56404,56542,55420,50733,50462,45545,40530,30925,31019,20611,14245,6251,4881,2211715,1045307,135001,124155,110237,83305,66854,69549,75774,75722,69397,65271,57630,48637,37014,28762,20327,12817,6394,3460,129506,118691,106407,86322,72864,72167,77954,78187,70256,65741,58981,50870,40639,34777,25729,17386,9327,5605,79629,72409,60655,45426,30406,25590,25051,25103,23237,23667,21377,19480,14599,14246,9474,6696,2830,2073,78587,72638,60077,46709,35203,30814,31491,30317,27496,26795,24168,21050,16326,16773,11137,7549,3421,2808,1090306,1121409,501948,543359
"G230","1960","Maine","230",,"Maine",107700,98320,92918,74622,57394,55406,59176,61038,57401,54326,51210,45852,41658,36712,29273,20692,11862,7731,1013,598,429,467,916,759,498,310,211,147,129,130,93,96,93,46,25,14,963291,5974,54541,49589,47480,38031,29317,27644,28987,29908,28323,26876,25034,22173,19849,17157,13584,9159,5080,2950,53159,48731,45438,36591,28077,27762,30189,31130,29078,27450,26176,23679,21809,19555,15689,11533,6782,4781,521,306,218,284,642,459,260,154,118,89,69,73,45,50,43,22,13,6,492,292,211,183,274,300,238,156,93,58,60,57,48,46,50,24,12,8,475682,487609,3372,2602
"G240","1960","Maryland","240",,"Maryland",291048,265748,240387,185174,154387,161151,187691,204592,184099,160283,134844,112258,93112,76840,56302,36013,18945,11045,75472,65863,54055,40636,34293,35063,37259,37521,32382,28840,23223,20274,14495,11412,7679,4679,2153,1471,2573919,526770,148116,135196,122375,93147,77897,80064,92881,99469,92075,80954,67876,55353,43879,34688,24315,14428,6957,3774,142932,130552,118012,92027,76490,81087,94810,105123,92024,79329,66968,56905,49233,42152,31987,21585,11988,7271,37414,32662,27055,20177,16374,16414,17916,18122,16157,14545,11866,10473,7398,5674,3681,2181,1015,632,38058,33201,27000,20459,17919,18649,19343,19399,16225,14295,11357,9801,7097,5738,3998,2498,1138,839,1273444,1300475,259756,267014
"G250","1960","Massachusetts","250",,"Massachusetts",530714,473676,433522,353684,284397,287487,324263,345584,335121,313142,285196,258307,234616,207837,160010,103693,56828,35067,17743,14229,10949,8254,9752,10272,10223,9602,7463,6018,4772,4238,3745,3075,2338,1565,712,484,5023144,125434,270535,241805,221168,174452,138659,142564,159060,167222,161291,150047,135119,120989,105971,91779,68288,42220,21012,11766,260179,231871,212354,179232,145738,144923,165203,178362,173830,163095,150077,137318,128645,116058,91722,61473,35816,23301,8864,7111,5415,4048,4894,5151,4995,4837,3748,3000,2291,2078,1946,1503,1135,748,314,210,8879,7118,5534,4206,4858,5121,5228,4765,3715,3018,2481,2160,1799,1572,1203,817,398,274,2423947,2599197,62288,63146
"G260","1960","Michigan","260",,"Michigan",861706,782840,671725,515635,405813,423567,481345,497563,459019,418262,365326,324301,272737,236176,175043,108347,55103,31357,107441,96259,71825,48493,41320,50221,57517,58035,49756,42935,32973,28286,20110,14740,9042,4932,1962,1482,7085865,737329,439093,399990,342612,253471,190904,207455,238620,243685,225267,208896,183702,165182,136426,116386,83763,49174,23397,12399,422613,382850,329113,262164,214909,216112,242725,253878,233752,209366,181624,159119,136311,119790,91280,59173,31706,18958,54038,48041,35876,23206,17866,22922,27363,28618,24541,21869,17026,14979,10426,7427,4453,2323,865,607,53403,48218,35949,25287,23454,27299,30154,29417,25215,21066,15947,13307,9684,7313,4589,2609,1097,875,3520422,3565443,362446,374883
"G270","1960","Minnesota","270",,"Minnesota",409254,374962,320421,248225,192053,189971,203466,208414,202639,192165,174658,158515,144984,130370,101381,64885,34511,20729,6751,5688,4289,3127,2830,3189,3021,2749,2229,1984,1532,1325,1072,945,705,475,204,146,3371603,42261,208160,191185,163291,121442,89128,94185,101191,103615,99959,95806,87010,78062,71070,63775,49170,30381,15387,8676,201094,183777,157130,126783,102925,95786,102275,104799,102680,96359,87648,80453,73914,66595,52211,34504,19124,12053,3439,2838,2127,1548,1346,1577,1545,1432,1197,1068,824,681,571,485,390,235,100,66,3312,2850,2162,1579,1484,1612,1476,1317,1032,916,708,644,501,460,315,240,104,80,1671493,1700110,21469,20792
"G280","1960","Mississippi","280",,"Mississippi",132612,126476,124613,107646,81837,75538,80359,81245,76804,76271,70186,59669,48492,42314,32817,22305,11726,6636,145800,133525,117244,89048,52923,40240,40064,40045,40644,43484,39471,36162,27714,30001,19392,13700,6185,4953,1257546,920595,68028,64499,63954,56470,41513,37132,39146,39598,37490,37542,34773,29032,23115,19833,15214,9967,4986,2719,64584,61977,60659,51176,40324,38406,41213,41647,39314,38729,35413,30637,25377,22481,17603,12338,6740,3917,72691,67032,59340,44893,24925,17659,16861,17072,17889,20060,18622,17296,12832,14370,9396,6711,2975,2298,73109,66493,57904,44155,27998,22581,23203,22973,22755,23424,20849,18866,14882,15631,9996,6989,3210,2655,625011,632535,442922,477673
"G290","1960","Missouri","290",,"Missouri",406972,374492,340811,281119,228484,223809,240120,252954,240534,240193,228889,210404,182243,165800,132932,92450,50411,30350,58789,47513,36391,27203,23845,24514,25685,25126,22332,21837,19716,18300,14127,12423,8716,5823,2628,1878,3922967,396846,207889,190782,173720,141181,112699,109917,117449,122922,116031,117336,110893,100996,85913,76464,60217,40827,21139,12003,199083,183710,167091,139938,115785,113892,122671,130032,124503,122857,117996,109408,96330,89336,72715,51623,29272,18347,29346,23744,18001,13259,10858,10932,11551,11437,10187,10319,9429,8784,6968,5890,4323,2836,1213,824,29443,23769,18390,13944,12987,13582,14134,13689,12145,11518,10287,9516,7159,6533,4393,2987,1415,1054,1918378,2004589,189901,206945
"G300","1960","Montana","300",,"Montana",78707,73440,64153,48611,37816,37303,40385,41551,42173,39003,32626,27839,22933,22377,19865,12693,6024,3239,4395,3608,2889,2156,1762,1579,1344,1222,1029,936,709,653,525,420,334,250,122,96,650738,24029,39969,37191,32459,24303,18730,18666,20531,21159,21437,20180,17333,14727,11712,11354,10446,6684,3002,1491,38738,36249,31694,24308,19086,18637,19854,20392,20736,18823,15293,13112,11221,11023,9419,6009,3022,1748,2215,1846,1440,1126,906,762,710,635,519,490,402,352,297,221,198,137,67,46,2180,1762,1449,1030,856,817,634,587,510,446,307,301,228,199,136,113,55,50,331374,319364,12369,11660
"G310","1960","Nebraska","310",,"Nebraska",154265,142789,124717,97827,80195,79816,84180,85557,80946,78054,74351,67589,62670,57583,46003,31055,16855,10312,5942,4622,3490,2456,2779,2809,2639,2282,1858,1640,1385,1244,1072,891,672,414,219,152,1374764,36566,78704,72433,63689,48827,39037,39697,42244,42971,40025,38717,36687,33145,30241,27424,21840,14217,7454,4251,75561,70356,61028,49000,41158,40119,41936,42586,40921,39337,37664,34444,32429,30159,24163,16838,9401,6061,3007,2328,1783,1303,1476,1415,1285,1117,904,801,691,623,525,448,356,207,97,57,2935,2294,1707,1153,1303,1394,1354,1165,954,839,694,621,547,443,316,207,122,95,681603,693161,18423,18143
"G320","1960","Nevada","320",,"Nevada",29318,26089,23435,17328,16746,17683,19084,20900,19969,18678,15263,12326,9268,7112,4940,3025,1537,742,3742,2688,1971,1868,1880,1815,1640,1310,1170,1065,748,714,407,384,202,119,52,60,263443,21835,14785,13395,11799,8846,8527,8925,9620,10403,10215,9938,8194,6960,5327,4030,2665,1533,779,357,14533,12694,11636,8482,8219,8758,9464,10497,9754,8740,7069,5366,3941,3082,2275,1492,758,385,1851,1354,962,967,957,923,807,709,609,546,438,417,250,211,100,63,32,27,1891,1334,1009,901,923,892,833,601,561,519,310,297,157,173,102,56,20,33,136298,127145,11223,10612
"G330","1960","New Hampshire","330",,"New Hampshire",65660,59687,56291,44213,34243,34108,37549,40051,38391,36113,33175,29857,27372,24322,18606,12618,7301,4777,460,258,153,147,428,380,229,153,88,59,59,50,42,33,21,12,5,10,604334,2587,33475,30589,28583,22352,17449,16881,18337,19493,19004,17678,15973,14436,12720,11314,8331,5424,2939,1684,32185,29098,27708,21861,16794,17227,19212,20558,19387,18435,17202,15421,14652,13008,10275,7194,4362,3093,239,127,70,77,292,219,124,85,52,32,37,30,25,13,10,4,2,7,221,131,83,70,136,161,105,68,36,27,22,20,17,20,11,8,3,3,296662,307672,1445,1142
"G340","1960","New Jersey","340",,"New Jersey",568122,522298,477638,360449,282234,320190,392601,432236,413277,378291,327030,283283,247777,211065,155564,93441,46880,26627,74075,59914,46742,35914,38820,42183,42479,40193,32862,28430,23501,20829,15000,11392,7585,4359,2152,1349,5539003,527779,289161,266953,243804,181904,138343,155466,190796,209240,201258,187125,162354,139710,116871,96645,70132,39815,18556,9379,278961,255345,233834,178545,143891,164724,201805,222996,212019,191166,164676,143573,130906,114420,85432,53626,28324,17248,37078,29670,23170,17348,17681,19491,20033,19392,15818,13650,11287,10217,7198,5451,3537,1979,933,546,36997,30244,23572,18566,21139,22692,22446,20801,17044,14780,12214,10612,7802,5941,4048,2380,1219,803,2717512,2821491,254479,273300
"G350","1960","New Mexico","350",,"New Mexico",122872,109533,94201,69442,61704,61116,61248,60165,51712,45608,36965,30038,22657,19121,14021,8612,4158,2590,13288,11534,9261,6794,6183,5422,4626,3923,3161,2824,2128,2085,1263,1090,716,488,232,242,875763,75260,62282,55718,47853,34974,31359,30870,30719,30030,26380,23123,18714,15147,11291,9432,7086,4260,1952,1162,60590,53815,46348,34468,30345,30246,30529,30135,25332,22485,18251,14891,11366,9689,6935,4352,2206,1428,6556,5592,4592,3254,3129,2615,2189,1955,1631,1410,1113,1115,711,610,410,291,132,113,6732,5942,4669,3540,3054,2807,2437,1968,1530,1414,1015,970,552,480,306,197,100,129,442352,433411,37418,37842
"G360","1960","New York","360",,"New York",1502150,1375602,1281875,1000431,824574,904056,1035047,1085677,1040799,1025078,959969,869526,764489,640835,470469,283039,142517,80938,188850,155552,123042,93131,109786,119997,128584,127489,106298,91544,74005,63196,43967,30965,19886,11206,4752,2983,15287072,1495233,765356,701331,652978,489594,386046,440606,503989,522061,497085,490900,466265,423522,362536,296064,213183,123423,57298,29127,736794,674271,628897,510837,438528,463450,531058,563616,543714,534178,493704,446004,401953,344771,257286,159616,85219,51811,94200,77368,60972,43501,46960,53962,57895,58992,48445,42108,34668,30304,21262,14527,8888,4788,1939,1096,94650,78184,62070,49630,62826,66035,70689,68497,57853,49436,39337,32892,22705,16438,10998,6418,2813,1887,7421364,7865707,701875,793358
"G370","1960","North Carolina","370",,"North Carolina",359660,344908,340457,295145,244426,229879,240869,244458,219791,201568,172542,142578,114009,96006,70535,46151,23453,12850,166806,163151,146125,112988,73186,63018,65412,66477,62215,58612,46772,40036,28900,26242,17671,10784,4890,3585,3399285,1156870,183425,176017,173748,153595,124577,113396,118782,120138,108495,98733,83475,67976,52700,43759,31533,19775,9751,4922,176235,168891,166709,141550,119849,116483,122087,124320,111296,102835,89067,74602,61309,52247,39002,26376,13702,7928,83213,81529,73438,57022,36144,29280,29658,30919,29431,28152,22427,19114,13093,12160,8155,4932,2136,1469,83593,81622,72687,55966,37042,33738,35754,35558,32784,30460,24345,20922,15807,14082,9516,5852,2754,2116,1684797,1714488,562272,594598
"G380","1960","North Dakota","380",,"North Dakota",77070,71608,62915,50692,37128,35117,36649,35699,36085,35474,31903,27514,23610,20621,16888,11400,5873,3292,2473,1963,1656,1238,969,815,713,594,530,435,418,340,247,205,130,99,42,41,619538,12908,39224,36554,32034,25557,18539,17696,18845,18334,18477,18374,16663,14374,12263,10640,8637,5795,3027,1604,37846,35054,30881,25135,18589,17421,17804,17365,17608,17100,15240,13140,11347,9981,8251,5605,2846,1688,1230,983,831,684,525,399,360,285,263,213,233,176,126,102,71,51,22,17,1243,980,825,554,444,416,353,309,267,222,185,164,121,103,59,48,20,24,316637,302901,6571,6337
"G390","1960","Ohio","390",,"Ohio",1024413,936753,831618,623503,521466,535770,606668,635396,583240,530703,467978,406084,353672,312211,241952,161368,86626,50277,114987,97566,73199,52518,49809,56301,61661,59547,49339,44196,35788,32463,24635,19386,12319,7440,3222,2323,8909698,796699,523359,478286,423369,304131,242837,262423,299268,310300,286804,262448,231016,198758,170041,146019,110765,70816,36182,19304,501054,458467,408249,319372,278629,273347,307400,325096,296436,268255,236962,207326,183631,166192,131187,90552,50444,30973,57037,48978,36340,25109,22399,25906,29104,28905,23949,21764,17875,16624,12526,9557,6021,3514,1449,1045,57950,48588,36859,27409,27410,30395,32557,30642,25390,22432,17913,15839,12109,9829,6298,3926,1773,1278,4376126,4533572,388102,408597
